no|title|text|senti_value
6|Good|Semoga bhinneka.com adain kuis kalo bisa survey berhadiah biar saya gampang menang|5
16|Cepat|Ga usah nunggu lama|5
18|good|hood|5
19|Good|Pengiriman cepat,, barang lengkap, tampilan website sangat mudah.|4
21|bagus|Saya belum mencoba|4
26|Great marketplace|Barang sesuai deskripsi, pengiriman cepat sesuai yg dijanjikan, harga sesuai, service responsif, overall memuaskan trims|5
27|Free Delivery|Free delivery|5
28|Best service|Best service and good customer care..|5
31|Legend ecommerce from Indonesia|Their product is legitimate and guaranteed|4
32|Excellent Service|Fast, Realtime, Great Price, Jaminan Garansi Resmi.|5
34|mantap bagus terpecaya|Terpecaya dan mantap barang2 nya|5
36|Very Great|Great online shop.|5
37|Bagus|Belum pernah coba|4
39|FAST RESPONSE|cepat tanggap, packaging sangat rapih dan barang cepat sampai. hadiah yang dijanjikan lewat promo di web juga benar diberikan kepada pembeli.|4
41|Bagus sekali|Bagus sekali....cuma potongan harganya sedikiiiiit sekali,lebih mantap lagi mungkin kalo ada diskonnya yang membuat pelanggan menjadi ketagihan, terimakasih.|4
42|Bagus|Bisa jadi referensi harga|4
46|bagaikan toko berjalan|Pilihannya banyak n ga ribet|5
48|Oke banget!|First-time experience, puas. Pengiriman cepet, dateng lebih awal. HARGA CUKUP BERSAING :) Barangnya oke, sesuai sama yg di website. Packingnya rapih, aman soalnya ada segelnya. Kapan-kapan mau kok belanja lagi disini!|5
50|good|good|5
55|Ok|Ok|5
57|TERPERCAYA, TERCEPAT DALAM PENGIRIMAN|Saya sudah 4 kali belanja sejak 2012 di bhinneka. Pengirimannya cepat walaupun saya tinggal di daerah riau. Packing bagus. Yang paling penting memberikan rasa aman. Sekarang saya di sudah Bekasi, mencoba beli barang anti static wrist dari LAZADA, karena toko online yang menyediakan hanya itu. Tetapi LAZADA Pengiriman bisa 1 bulan, tidak jelas, tidak memberi rasa aman. Akhirnya saya kembali belanja di bhinneka. Bhinneka memang terbaik.|5
59|puas|100% aman dan nyaman belanja dibukalapak|5
61|puas belanja di bhinneka.com|"saya sudah beberapa x belanja online dari bhinneka.com dan selama ini memuaskan. 1. harddisk external 3.5"" 2. laptop asus 3. jabra bluetooth headset semua pelayanan dari pembelian tersebut memuaskan"|5
64|awesome|convenient store|5
65|Memuaskan|Sudah 5 kali berbelanja di Bhinneka, sekali dgn cara COD dan sisanya dgn kartu kredit. Semua transaksi berakhir dgn memuaskan. Barang yg dikirim terbungkus rapi dan sesuai dgn apa yg memang saya beli. Respon customer care saat saya membeli lewat COD sangat cepat dan tiap tahap proses pengiriman, saya mendapat email notifikasi yg jelas. Saya pun bisa men-track paket saya secara online. Bhinneka sudah menjadi situs andalan saya dalam belanja online|4
68|pelayanan sangat baik, barang pernah rusak diganti|yg baiknya profesional, kurangnya QC dan harga kadang masih tinggi|4
69|Belanja online menyenangkan|Saya sudah 4kali belanja online di bhinneka, sejauh ini sangat memuaskan. Kenapa? 1. Bhinneka sbagai real online shop. Baramg yg dijual merupakan barang yg disediakan dan dikirim sendiri oleh bhinneka. 2. Proses pembayaran yg mudah & banyak alternatifnya. 3. Informasi yang akurat mengenai status pemesanan barang ke email pemesan 4. Barang dikemas dengan rapi dan aman, 5. Dari order sampai barang sampai tidak pernah lebih dari 4hari, saya berdomisili di kota jambi, pengiriman free shipping & berbayar sama saja perlakuannya. kekurangannya: harga yang dikenakan merupakan HET. Pilihan cicilan 0% kartu kredit belum berlaku untuk semua jebis barang. namun secara keseluruhan bhinneka lebih baik dibanding online shop lain.|5
70|nah ini baru yang terbaik|meskipun harga nggak semurah ol shop lain seperti lajada atau belibeli tapi bhinneka yg paling mantap, emang loe pade mau beli barang murah tapi palsu/rongsokan, kalau mau beli aja di online shop lain.. diskon gede dan bnyak voucher percuma klw dapat barang palsu|5
71|Bagus|Barang di jamin kwalitasnya, baik sesuai order.|5
73|Lumayan|Pelayanan memuaskan, banyak opsi metode pembayaran, sering diskon, packing rapi, barang yang ditawarkan lengkap dan bervariasi dan ada free shipping . cuma cukup disayangkan harga kurang kompetitif, kadang beda jauh sama kompetitor|4
76|ok|Ok|5
77|Ok|Joss|5
79|computer dkk|rekomen utk barang2 komputer serta aksesorisnya|4
80|Very good ecommers|Many discount produk but still expensiv|4
81|No 1 IT and Gadget Store|The 1st Indonesian IT solution E-Commerce|5
82|selalu setia dalam pendirian dari dulu|Tak akan goyah walau kompetitor tumbuh dengan cepat, setia pada keluhan ataupun komentar serta cepat bertindak, free delivery yang diberikan tetap setia walau telah berulangkali ulangtahun. Produk yang tersedia selalu dipantau keaslianya. Bangsa ini hanya bisa terjaga oleh pemilik bangsa.Salut pada bhineka.com.|5
83|good company|Sometimes on some events they have great price, but normally no|5
86|safety|This e commerce is very trusted and safety|5
87|quality products and competitive price are always @ its best|quality products and competitive price are always @ its best|5
88|Good Company|Lots of good stuff but unfortunately there is rarely a big discount.|5
89|Best Online Shop for IT and Office Electronic Need!|This is the Best Online Shop for IT and Office Electronic Need! Price is Competitive, Product Ranges are excellent, and Delivery is also Fast!|5
90|Good company but the price is not competitive.|Good company but the price is not competitive.|5
92|Responbile and very competitive|The price very competitive|5
93|Packing Rapi|baru kali ini berbelanja dengan packing ter-rapih dibandingkan e-commerce lain.|4
94|Nice Service|Several times i shop at this online shop, they have a good service and have a good packaging.|5
97|Bagus Servicenya oke !|Bagus Servicenya oke !|5
98|Barang murah!|Suka belanja di blanja.com soalnya barang murah kalau pake voucher! mungkin pengirimannya ga secepat ecommerce yang lain, tapi cukup puas dengan harga yang di dapat!|5
99|Great website and Mobile UX|blanja.com web and mobile has better user experience than any other ecommerce sites, it always easy to discover and purchase the product that i want, also the daily promo is exciting, there's always promo product that has cheaper price, better price than any other marketplace, with awesome ux and promo price, it's unbeatable|5
100|Pesan barang di Ebay dlm satu klik|Sekarang mau blanja barang apa ajah di Ebay mudah sekali, tidak direpotkan dgn urusan pajak, ongkir, bea cukai dll. prosesnya semudah blanja barang di dlm negeri dgn pilihan pembayaran yg beragam dan aman. Tidak perlu khawatir barang tidak akan sampai atau tersasar. tinggal klik, bayar dan tunggu barang sampai di rumah.|5
101|Blanja.com memang mudah untuk order online|Pengalaman order di blanja.com mudah sekali dan banyak promonya dan banyak dikasih voucher. Dua Jempol buat Blanja.com mantapppp|5
102|kemudahan belanja di ebay|sangat mudah belanja diebay cukup bayar dan tidak perlu repot mugurus beacukai dan pajak|5
103|Safest place to shop|Beberapa kali belanja di blanja.com. Harga ok, cara belanja nyaman, dan aman. Sesekali seller late response, saya pikir itu hal yg harus dibenahi. overall: recommended marketplace.|5
104|Banyak Promo + bisa beli dari ebay|Blanja.com banyak promonya tiap minggu. Harga bisa lebih murah deh. Pilihan pembayaran juga banyak dari ATM, Credit Card, sampai bayar di Indomaret. Asiknya lagi di Blanja bisa beli product dari ebay, banyak produk rare dari US.|5
105|Harga cukup bersaing dan pengiriman cukup cepat|Pesen Redmi 2 beberapa kali dapat harga promosi, barangnya bagus dan pengirimannya pun lumayan cepat. Recommended ....Kalo ada promo pengen beli lagi deh....|4
106|Banyak Promo Menarik|Promonya sering dan banyak banget, lumayan dapet harga miring, cuma ongkir nya sedikit lebih mahal dari toko sebelah....|5
107|Marketplace paling murah|Marketplace yg paling sering bagi2 voucher. kalah lah toko sebelah mah|5
112|Sering ada Voucher Diskon|Seneng karena sering ada Voucher Diskon, lumayan jadi lebi murah..|5
113|harganya ga nipu nipu|Sebagai ibu - ibu saya pasti harus jeli compare harga. beberapa kali beli barang di blanja, harganya ga tipu tipu ga kaya yg lain. dan waktu itu ada masalah dng sellernya soal pengiriman, kontak tim customer serv nya, dibantu di mediasi karena susah sekali chat dng sellernya. semoga ini seller2 yang ada di blanja.com lebih meningkatkan kualitasnya|4
117|Keren|Keren|5
118|Metode Pembayaran|E-commerce paling lengakap metode pembayarannya termasuk bias menggunaka T-cash yang saat ini lagi digemari kaula muda.|5
122|Trusted company.|Pros: Memberi kesempatan untuk menukar telkomsel poin dengan voucher yang lumayan. Mudah-mudahan ke depannya ada penukaran telkomsel poin langsung dengan merchandise/produk. Cons: Kadang-kadang sulit untuk masuk ke webpage-nya.|5
125|Berikan produk semua umur...|Pertahankan pelayanan yg saat ini dijalankan|5
