Sentence,Label
fitur buka ikal nya mahal heheh,positive
bukalapak mudah belanja,positive
muantabhhhhhhhh,positive
mahal,negative
klu pedagangnnya seleksi klu barang kosong jgn tampil menu terima kasih,positive
indonesia,positive
metode bayar luas jamin unsur tipu barang langsung kirim besok ya kalo jasa ppegirimannya d,positive
kecewa dg layan tokopedia beli token pln nila ribu nomor tokennya customer service tunggu tunggu tunggu kecewa kapok belanja tokopedia,negative
olx ga terima saran konsumen aja bangkrut,negative
mohon bukalapak selektif pilih palapak mesan stock nyata laku pembayayaran uang refund alas stock habis kecewa pelang terima kasih bukalapak moga,positive
aplikasi lengkap diskon tarik fast respon,positive
batal pesan gmn,positive
upgrade gagal untung versi user friendly,negative
bukalapak top,positive
udah wes kapok beli lazada banget kirim sampek minggu bom orang kurir ngirim pakek beca k saran temen beli lazada klo barang butuh cepat,negative
,positive
permisi blibli com baca komentar beli blibli com keluh lambat kirim stok barang memberitahukan beli minggu biar hati curiga publik tipu belanja online blibli com tinggal orang gulung tikar harap pesan nomor private info removed mohon proses mesan lenovo a plus spesial edition hitam smartphone gb casing screen guard jumat desember wib proses mohon blibli com uang terimakasih hannan hp private info removed email private info removed,negative
aman nyaman ok pilih bayar lumayan promopromo bagus kirim not good paking tarik,positive
yg profesional qc harga kadang,positive
blibli untung karna kumpul poin bantu trimakasih blibli,positive
blibli tawar tarik program yg agam khusus kamis kmrn promo sandisk usb flash disk harga murah ga murah klo promonya blibli gw dah ga ragu ga takut ama yg nama tipu krn produk jamin kualitas walopun item yg standar yg blibli anyway thx blibli n seller,positive
senang belanja bukalapak kali belanja sukses pilih jasa kurir harga miring nego senang sukses bukalapak,positive
very helpful in shopping,positive
sen order id private info removed diterimaa cepet udah nyampe status tunggu ambil kurir estimasi packaging aman sempet waswas krn produk barang pecah belah timbang buru digunain deh program diet maaciiww deh blibli pake voucher lumayan free ongkir jd kalo beli printilan nggak rugi moga tetep kece layan,positive
merchant kirim barang nya blibki tanggung uang customer service respon deh situs lazada,negative
pesan no batal alas customer kendala pesan laku transfer sesuai email lazada laku batal minggu pemberitahuan lazada dana lazada ubah bisnis tipu mohon tanggap lazada,negative
reply nya cepet aman gak nyesel dech beli ticket com plus reminder nya keyennnnn brasa specials gitu hehehehe,positive
transaksi super mudah,positive
online shop yg bantu metode bayar,positive
minggu blibli bikin bijak kena ongkir beli non jabodetabek kecewa gw beli jabodetabek jujur aja gw udah puluh kali transaksi blibli free ongkir lumayan selisih ongkir kebijakannnya gak cabut gw ga belanja blibli toko belah tuh yg kasih free ongkir,negative
kereeen,positive
suka belanja mataharimall harga miring kualitas on fire ukur sesuai pokoke puas banget tinggal daerah bangga pakai barang produk matahari sukses,positive
kecewa aja versi yg,negative
bayar mudah yg rekening bank batas bayar d,positive
this company helps me and my family to find used stuffs we need in life,positive
olx kembli tampil,negative
sellernya nipu review user ga tampil,negative
penguna blibli com daftar akun facebook daftar hasil log in akun blibli gagal proses login toko online toko online milik member transaksi banding blibli senang belanja online toko belah ketimbang blibli proses log in aja penuh sabar proses makan berhari bertahun,negative
sen iphone dgn no pesan private info removed dr tgl dec sampe blom kali telpon cs blibli yg bilang kirim kirim telpin lg blgnya tahan bea cukai telp lg diblg merchant cs blg lg barang sedia cs yg lg blg barang blm sedia info konfirmasi yg konfirmasi cs yg telpon nama tina oscar msh bnyk yg janji konfirmasi yg konfirmasi merchant access shop sebenernya gmn sih blibli barang sedia pajang web tipu uang gmn kapok belanja blibli blg sesal ga tulis review jd tulis review jelek tolong konfirmasi kirim barang cepat,negative
cepat tenggapan notifikasi bayar semuanay bintang dahh mantap terimakasih,positive
pesan motor yamaha vixion tanggal mar hadiah bilang max sampe tanggal april bom terima haduh payah dah,positive
pesan barang beda supplier kirim tdk barang yg slmat sampe tp barang yg ni produk selai coklat kirim telatt bgt minggu krn sen yg ok ok aja gua ga perhati packaging lgs aja gua bayar kurir stlh kurir pergi alamakkk kardosnya minyak pikir buruk bukti selai yg gua dpt tp botol tumpah coklat yg ga karuan ga yg makan kecuali sisa coklat yg belepotan botol bener kecewa lazada diskon yg gua buntung,negative
nice,positive
gimana beli chat dlu jual aja online offline gimana hubung jual gan utama no hape nya olx jual beli olx chat konsumen,negative
belanja baju batik lazada sih belanja g g tau ahir bener trauma belanja lazada kejadianya belanja baju batik warna hitam sesuai gambar kirim yg dtg motif cuman warna merah ahirnya komplain lazada maaf proses ribet gpp baju kasih famili g saking suka dgn pilih sen dgn harap g kliru proses tunggu bbrpa barang buka senang pilih sdh buka nyata kirim warna hitam beda motif alias g dgn yg web asa emosi kesal luap k lazada ahirnya lazada maaf bla bla bla direspon kirim kurir ngambil barang yg m lega respon lazada ngomong barang d ambil telpon sm lazada barang sdh terima lazada uang proses barang pilih yg dilazada kosong knp y situ stok sedia aneh gin kelas lazada k acakan g tau lihat lazada tarik dgn product yg belanja proses blm kelar sy proses barang jne buka istri bingung g sen baju anak k kirim gitu pikir kirim temen istri sy g ahirnya cek nyata pesan jaket k lazada kirim baju anak sy diam g ngomong saking emosi sy komplain dgn umpat yg kotor g karuan kliru kali rentan sdh bayang gimana kerja lazada warning temen yg suka belanja lazada hati belanja lazada kyk konsumen posisi lemah uang sdh lanjur masuk enak udel bikin prosedur mksh,negative
harga bagus saing,positive
produk transaksi aman jamin uang,positive
tokopedia lemah lindung beli seller nakal,negative
beli tas lazada picture tas nya bagus warna bagus liat review puas tas nya pas tas nya udh sampe rumah bgt ekspektasi tas nya ga sesuai gambar warna nya beda kecewa takut kalo review yg lazada review,negative
tampil produk saran bagus kalo produk detail salah order,positive
traveloka flexibel ubah tgl inap hotel yg booking padhl sy oke klo umpama tdk bs refund lempar tanggung dng hotel utk ubah tgl sedia utk menyesuaikam harga tgl yg maksud transaksi trimakasih traveloka,negative
always love to shop here more voucher discount easy aplication to us reasonable price n the thing that i really loves it its the service by its customers service n refund department also easy to refund n klaim our money back,positive
free shipping is good point,positive
free ongkirnya sy laku mesan vacum cleaner item barang yg sy pilih free ongkir indonesia tp sy laku bayar knp muncul ongkirnya ya ongkirnya lumayan mahal rban sy free ongkir utk produk sj stlh sy check free ongkirnya utk produk vacum cleaner yg sy beli masuk dlm item yg free ongkir jd knp ya utk brg yg sy beli kena ongkir ya mhn info tks,negative
ok,positive
pas terima barang dr lazada neng bgt nyampe bayar harga diskon murmer tp minggu lhah barang ga bs dipake rusak kecewa deh trus pasang review produk q yg q beli dodawa hand blender aneh ya reviewnya bagus gilir reviewku yg kecewa dg produk ga muncul yach drpd stres iklasin aja deh alam jd simpul sndri kalo barang diskon lazada adlh barang rejeck,negative
in order to make customer satisfied customer service is the most important to online store for giving solution for their customer because there is no perfect in this world and mataharimall was already giving their best,positive
uang tahan proses lambat uang telan tokopedia bahayaaaaa,negative
aplikasi bantu pecariin tiket kereta api sesuai utama nomor duduk pilih,positive
belanja blibli com temu beli iphone minggu pakai iphone nya tp blibli com bantu usaha barang blibli com bantu nomor telpon jual ketemu jual tunggu minggu iphone nya ganti jual blibli com tanggung bantu selektif kerja sellernya ga kalah berkali bonus voucher blibli com saran beli kirim cepat terima kasih blibli com sahabat beli moga sukses,positive
alhamdulillah belanja bukalapak com layan muas pilih barang yg harga yg kompetitif kirim sesuai jadwal jamin uang barang tdk sesuai pesan,positive
quality products and competitive price are always its best,positive
barang minggu konfirmasi bayar dpt feedback vip plaza telp cs susah email telp berkali no respon buruk layan,negative
puas blanja dimataharimall com barang cepat sesuai pesan bayat,positive
bingung yg online via kuota abis kuota cm refresh,negative
layan harga murah biar lengkap kadang harga,positive
kamera bagus muas kamera mirrorless langsung jatuh hati kamera fujifilm xe tajam indah tone warna hasil fujifilm spesifikasi kamera bagus lengkap hasil foto detail sensor kamera xtrans cmos made in japan autofokusnya cepat potret momen ulang fujifilm rajin mengupdate firmwarenya kamera xe autofokusnya single point diupdate autofokus zone widetracking bagus ambil gambar gerak tombol short cut nya bantu mudah ambil gambar cepat atur ambil gambar sesuai faktor utama pilih kamera fitur wifi mudah pindah foto smartphone repot pindah komputer laptop card reader terkadang bahaya kena virus komputer laptop aman cepat meremote camera smartphone fitur wifi apps fujifilm control remote seru banget abis foto momen langsung medsos teman keluarga alam eksplorasi kamera fujifilm xe seru fitur filter foto miniatur main dll fotografi tantang senang kreatif imajinasi karya foto abadi momen harga kemas seller megakamera com rapih muas lindung plastic wrap nya basah kena hujan hujan kirim seller muas percaya garansi resmi fujifilm sellernya toko offline nya lihat langsung produk beli percaya thankyou megakamera com kirim kamera aman muas puas belanja blibli aman nyaman belanja garansi blibli customer service jam bantu pesan ga ragu kalo belanja online ya blibli com produk elektronik mahal nilai ragu blibli com online shop percaya muas garansi,positive
mudah akses control produk bagus,positive
senang situs tiket com diskon poin hadiah nyaa bayar nyaa mudah,positive
bisnis laku gold merchant bayar gold merchan nya toko blokir sya ambil uangya payah payah tipu tokopedia uang gold merchan beli barang barangya rusak jual tanggung itikad uang silah email private info removed,negative
coba,positive
nikmat aplikasi olx kecewa,negative
laku transaksi bukalapak hasil harga service worthed muas proses beli mudah pake ribet laku monitor pesan jamin transaksi langgan setia bukalapak kualitas layan jaga tawar inovasi prog khusus manja buyer thanks good job bukalapak,positive
barang negeri free ongkir voucher program krezi kamis terang lengkap program krezi kamis buyer laku beli jenis barang beda promo krezi kamis langsung pikir laku minggu beli item beda nyata laku akumulasi program jalan,positive
sy sen iphone refurbish dr tgl lambat tgl tp skrg tgl ko blm dtg yaa,negative
habis beli jam tangan wanita lazada merk blue lans barang negeri sih bagus nyata nehi nehi pas pake emang detiknnya jalan menit jam nyangkut pas angka mentok manual gitu males bawa toko jam ntar mahal beli ah kapok deh belanja lazada udah beli jam bareng temen gak tau deh barang nyampe kondisi gimana apes apes gak ikhlasin tu duit makan deh uang haram,negative
transasi gagal uang aman banget,positive
seller malas update jual malas,negative
mantap,positive
belanja zalora mudah cepat barang tampil beda dgn asli kadang bbrp warna beda tp so far so good proses mesan barang butuh pretty fast layan muas zalora is gonna be the best online shop in the worlddd,positive
dar alam beli lazada maaf informasi detail males nyatetnya inti kemaren beli spy campera biji proses kirim sesuai maklum mes lebaran bikin kecewa barang kualitas new spy camera cacat merahnya pas mode video tombol susah banget hubungin lazada males banget rugi mending bikin hepi aja kesimpulanya kapok beli lazada,negative
beli layan tdk muas saldo debet tp transaksi gagal skrng udah hmpir blm komplain cs janji,negative
pesan sesuai promo tayang,positive
mudah,positive
best price,positive
nunggu minggulebih kirim kecewa,negative
good service for customer fast respon for problem handling,positive
pesan tv led lg blibli com no pesan cek resi jne situ tulis delivered tanggal sept jam wib terima barang barang gede size nya mustahil hilang bener kecewa kecewa barang sebenernya bayar yah barang konfirmasi blibli kurir barang kirim minimal telpon sms parah,negative
michael santoso,positive
laku pesan tanggal nov no mesan private info removed laku bayar yg laku konfirmasi pesan status aplikasi yg smatphone nyata bayar terima barang kirim emai judul konfirmasi order cancelled payment expired private info removed noreply nya blibli com customer bingung yg yg,negative
alami order barang no order nila rp transaksi tgl desember tanggal desember kemarin cs lazada respon coba hubung live chat order verifikasi kirim live chat cs nya nama ey mismayanti bilang order batal proses making an gimana nya uang suruh isi form lazada co id refund isi form refund nya konfirmasi tgl desember live chat cs nya bilang mohon kesediaanya tunggu estimasi transfer bank kerja bingung uang uang transfer moga lazada baca kasihan konsumen ngeluh gara belanja gak jasa promosi nya aja gedein layan,negative
websitenya loadingnya susah cari produk cs nya jg lelet,negative
beli air purifier tanggal october estimasi tanggal october tunggu ambil kurir tunggu janji besok nyampe sampe aja kurir ambil mohon follow up nya team blibli moga aja barang nya pas nyampe sesuai harap ekspektasi ni gara gara barang nyampe gin ssebelumnya tarik bgt ken belanja harap customer care blibli respon barang sesuai jadwal barang nya sesuai terima kasih mohon tanggap,negative
percaya harga yg tarik,positive
everything you need in mataharimall,positive
sy belanja bli bli trouble kali kecewa pesan barang buah hp xiaomi redmi note bayar kartu kredit konfirmasi bayar terima blibli barang proses ambil kurir sesuai estimasi tolong donk bli bli proses dr yg cancel aja uang nya refund beli laku kartu kredit mohon,negative
tanggal desember beli unit hp asis zenfone laser red nama septiana ardilawati rpx pilih cepat blibli estimasi barang terima yg tulis tanggal desember tracking barang pick up kurir kembang sengaja opsi kirim cepat barang ulang teman tanggal jujur kecewa laku transaksi blibli langsung kecewa pemberitahuan via email update review tindak tanggap blibli kmarin tanggal desember pesan barang tanggal desember tuju purbalingga estimasi lambat barang kirim tanggal desember sengaja kirim cepat rpx harga yg mahal harap tanggal review trustedcompany com hubung blibli barang rpx yogya status tracking pickup courir oh my senin tanggal konfirmasi blibli sttatus tracking konfirmasi maaf janji palsu rugi toko online buruk indonesia layan kirim cepat jkt purbalingga hati hati,negative
idem review minat buka olx t t mudah sulit,negative
booking hotel gimping diskon gede,positive
ya alami mesen barang d lazada jum at pas udah mesan laku bayar cek status barang ubah ya pikir besok udah ubah besok ubah ambil inisiatif email cs nya trus d suruh email bukti prmbayaran lahh rubet untung d buang bukti transfer ya d hitung kirim d ngurus banget layan sistem manejemen bayar aja lazada iklan manis mohon d tu sepi,negative
beli baju tidur remaja des barang nggak sesuai yg cantum sy telp buka lapak tugas barang nggak stock kayak gitu uang dompet buka lapak x jam nggak tuh telp tugas hasil nggak tuh telepon tugas hasil januari yah tuh nggak dana dompet malas yah telepon hasil kapoookk euuyy beli bukalapak hasil beli toko masihhhh,negative
minggu uninstall useless ga banget,negative
gak sih beli tokopedia gak kecewa beli jual tokopedia fitur diskusi produk fitur pesan notifikasi penuh pilih expedisi pilih sesuai butuh harganay jamin asli emang murah banget tokopedia komisi biaya jual bantu jual beli,positive
iphone s refurbished nya garansi international distributor servicenya apple apple terima kasih,negative
bukalapak inovator kembang bisnis online marketing distribution,positive
tampil buruk responsif ganti template template responsif mending hapus situs olx,negative
transaksi mudah barang lengkap harga murah,positive
good service,positive
nie masak olx lokasi gak jelajah habistu lihat nomor telepon orang pergi ganti hubung jual inappropriate content removed ubah gih,negative
layan muas kirim cepat kualitas barang kecewa pokok their deh,positive
please give us a lot of voucer code to get special discount,positive
matahari mall salah ecommerce indonesia layan cepat barngbarang jual kualitas harga tawar relatif jangkau kalang,positive
refund tgl september flight tgl oktober menayakan lwat email customer care traveloka belit belit alasanya tindaklanjuti maskapai travel agent layan kecewa kali kali pakai tolong hati,negative
great services,positive
traveloka bgi usaha yg trbaik n pelang setiax traveloka nmun skli slah krim pmbayaran jd tket kode booking sya g bsa d trbitkan apkah bsa ga uang kirim,negative
overprice,negative
kali mobile app traveloka bantu aplikasi user friendly jarang error share alam nih moga manfaat beli tiket citilink smgjkt harga web resmi citilink traveloka harga ribu murah proses mesan beli jalan lancar eticket menit issued lapor laku bayar jalan laku mudahan aja ga refund salah hotel bandung ragu refund hotel traveloka krn thread yg traveloka payah kalo refund tp ya merefund inap proses refund sesuai prosedur aplikasi april uang rekening cepat bilang maks kerja tp nyata cepat pesan hotel dgn kupon gratis senang disc lumayan asli utk hotel yg suka kupon valid batas mesan sesuai dgn butuh hehe proses mesan bayar laku masuk kupon laku metode bayar peosedurnya ok overall i m satisfied with the service i think it s enough to give a review for traveloka keep the good work traveloka and for all you guys don t forget to read all the facilities or procedure or maybe ask traveloka agents first for any missunderstanding statements before book,positive
jual nipu barang kw ori gak ori contoh baby liss baby liss asli harga tokopedia dapet harga bilang produk ori facebook resmi baby liss indonesia barang tokopedia ori tolong tindak jual jujur bikin rusak nama tokopedia,negative
barang cepet emas barang oke,positive
nomor resi ku nyampe mesan dah,negative
beli motor cicil kartu kredit mah keren dah,positive
account email private info removed,negative
trus,positive
sy kali belanja blibli com awalny sy ragu tp mkanya sy order barang blibli com cm sy kecewa pas liat estimasi barang tangan beli sy harga customer serviceny yg ramah fast respon prtanyaan sy yg pd akhirny sy laku bayar sy orang blibli com jd sy g tau mekanismeny gmn jd sy bs harap kpd blibli com klo ad yg pesan barang diresponlah cepat pengirimanny krena barang yg pes bs smoga barang pesan sy smpai sesuai harap sy jngn pulak dah nympai barangny bagus klo sy g tau hrus bilang terima kasih,negative
uda ngirim uang tp status nya msih verifikasi iya tpi td dpt email jg konfirmasi order tlh terima nyoba konfirmasi tp slh isi no account nya gemna,negative
,positive
system bayar cancel produk tunai bentuk voucher milik expired bilang blibli com lindah darat onlineshop onlineshop cancel order ya dana ajar harga uang coustumer harga blibli com,negative
good online shop,positive
tampil menu cari lapak mesin cari yg kadang muncul kadang trima kasih,positive
order finish in a smile aman belanja kode voucher tagih belanja mm thanks mm,positive
alam parah transfer beli tiket pesawat bilang dana masuk transaksi batal terbang uang,negative
ongkir gratis packing rapih mantap blibli,positive
udah ganti aja pake old olx gak malu hik hik,negative
alhamdulillah kecewa layan delivered barang barang top deh,positive
order tgl april brg jne medan tgl mei tgl mei barang blom bilang maaf maaf maaf kalo gak layan customer jgn koar order private info removed tlp bilang alamat gak lengkap jd yg tolol,negative
keren banget barang sesuai gambar harga terjangkaiu kualitas nomor kasih bintang,positive
service excelent,positive
sy suka belanja matahari mall karna diskon ecommerce kenal orang free ongkir cod saran tingkat jadwal kirim cepat sukses matahari mall,positive
bad,negative
kali beli barang mahal blibli com pakai kartu kredit bca ken bukti cicil kayak iklan emg ngebet beli asus tab yg harga juta gw beli utk kirim garut daerah tarogong beli senin malem barang nyampe garut kamis pagi pas skrng sih gw aman beli blibli yg bikin seru pilih bank yg bnyk trimz ya blibli,positive
tanggal mei order iphone gb gray harga lumayan murah trus lg voucher diskon rprb thankyou blanja trf sy langsung hubung seller nya konfirmasi klo sy sdh trf brharap iphone pesan sy keep biar ga habis kmaren iphone nya sisa pcs besok jam tgl mei barang sy kirim seller sayang barang sy terima tanggal mei karna jne ngakunya overload barang sy cek alhamdulillah original singapore diaktivasi saran teman teman yg belanja blanja com cek rating sellernya cek review produk yg jual seller transfer jg langsung hubung seller nya konfirmasi bayar jalin komunikasi seller nya kalo cs responnya,positive
mesen kogan kamera mp tanggal maret sampe tunggu ambil kurir no pesan private info removed call customer service blibli kasih nomer resi knp lacak kurir mohon info nomer resi yg,negative
kecewa layan blibli laku mesan redmi note no pesan private info removed pesan tanggal maret status tunggu kirim kurir mohon kirim bad experiences belanja blibli,negative
layan cepat alhamdulillah blm kecewa tahan yg beda konsumen nyaman belanja buka lapak thanks buka lapak moga sukses,positive
layan customer service,positive
mataharimall com percaya,positive
the best travel olshop,positive
tiket com beli tiket murah travel,positive
jual barang potong harga barang tsb banding dri potong harga barang yg jual,positive
bukalapak olshop yg top barang kirim lapak uang dg aman tranfer indomart alfamart jamin barang salah kirim,positive
yg blum belanja bliblo jgn coba deh barang yg jual barang rusak trus layan jelek,negative
bukalapak gimana ya ya bukalapak situs website bantu dagang tahap lapak rugi untung situs hubung orang indonesia mudah temu barang user cs respon cepat cepat sunguh luarbiasa hidup bukalapak maju recomend onlineshop ntshop,positive
tiket com mudah ubtuk mes jenis tiket transportasi libur lengkap mudah akses murah banding agen online tour and travel suka harga tera list include pajak pilih hotel kerja,positive
misi nanyak nich nak barang senin bayar indomaret hati minggu nak kurir ya nak gk langsung langsung blibli com ya rumah udah nunggu malam skrang plizzz anter cepat ya barang ya langsung cepat barengbarang ya,positive
vvv,negative
belanja bukalapak aman,positive
trusted ecommerce in indonesia i bought so many things in mataharimall com with great prices service and after sales is excellent,positive
fasilitas belanja oke sayang web down hang,positive
mo travelling aja gak bingung karna tiket com yg percaya simple harga yg konsumen maju tiket com,positive
mesan cepat mudah utama bayar pilih harga hotel mahal harga hotel saing banget top deh,positive
tgl maret kmren sy order iphone bayar sy pakai mandiri kredit cicil yg kardus kosong nyata tagih kartu kredit cicil tsb barang yg sy terima zonk pesan sy tsb batal truss urus kartu kredit sy gmn yaa sy order x handphone blibli gak kali sy kena zonk iphone mohon penyelesainnya tks,negative
layan udah bagus tpi sayang promo shg suka error kayak php,positive
usebility baguss,positive
when i saw glorope site it seem great so i purchased a cat collar right away but it does glow very very low not bright like website shows,negative
online shop yg aman percaya maju n bntu usaha proses pnjualannya,positive
bantu cari barang yg butuh harga murah mudah transaksi sy percaya bukalapak terimakasih bukalapak,positive
mahallll,negative
traveloka harga yah jujur murah jangkau poko harga jujur traveloka so far good traveloka,positive
bagus,positive
cek bukalapak,positive
j,negative
redesignnya aneh,negative
best ecommerce site fast delivery,positive
seller seller bukalapak jujur proses kirim aman banget,positive
