Sentence,Label
was was belanja online dizalora was was henti belanja,positive
cari lokasi ribet tampil ya jg bikin sakit mata,negative
the prices here is very competitive,positive
bayar atm sedia sms banking bank bank bumn bni mandiri bank permata,negative
transaksi online kecewa pesan barang tgl smpe skarang kurir nunggu trus no invoice private info removed telat tau forum laku salah langgan bli klo dgn barang silah direfund spy ga habis wkt barang sbnernya harga standar cm krn cashback pikir mo coba online shop scr blum coba haha mmg salah ga baca review ol shop update barang terima sampe jne sdh kirim pesan dr ol shop pesan sabtu sdh,negative
simple tinggal cetak bagus e tiket nya tinggal tempel aja masukin no id aja ga antri cetak tiket,positive
always up to date,positive
yg cicil bayar via bank aja yg kerja sm blibli sistem cicil,negative
sdh transaksi tokopedia lancar fastrespon kmrn laku transaksi dg no inv xvi vii batal seller direfund saldo laku tari tanggal juli smpai skrg dana blm masuk rekening pdhl sdh masuk rekeninh,negative
potong harga kalo indomaret dpt potong ribu,negative
good job,positive
belanja blibli com tanggal desember promo diskon hutbri nomor pesan private info removed status pesan tgl msh tunggu ambil kurir iya hr kurir utk pick up pesan gratis kirim jd kurir pickup pesan dgn jalan kaki jd buth ngambil pesan x lapor costumer service jadwal pick up tgl desember tp tgl desember blm jg pickup suruh nunggu sampe tlg desember alam belanja blibli com kesan buruk toko online belah kaya la da co id bhinn a com respon cepet ga pake nunggu respon cs cepet klo komplain tindak,negative
nggak arah profit gede,negative
eksprdisi kirim selektif,positive
fitur mapping cari iklan batas km harap olx rubah tampil sampah tampil the all new olx fail,negative
very confusing as the website does not ask you for your passeport details before nor after the payment,negative
murah bnyk voucher,positive
lazada bwt sen popok anak krn bner hrga ny miring uda bbrpa kali bli cod layan cepet ksni jd t tarik liat yg ud bbrp kali bli brg sy ro bohlam led ny philips krn lumayan murah dg sistem paket harbolnas kmrn suami kpkiran ambil led tv yg mang qt lg hunting kbetulan hrga spesial jd deh order testi ny jg bagus mnurut status pesan kirim tik no resi private info removed brg dtg bsk tp bis baca testi negatif sya jd rada was moga ga t ulang pngalamanya ga enak ny sy aamiin,negative
kali kecewa lazada beli jam website tera barang max minggu alas barang negeri ok tunggu beli handphone lenovo p hp sesuai batas hp nyala website tulis garansi resmi kartu garansi kotak hp tolong lazada awas supplier pilih supplier tolong cek barang supplier konsumen tipu,negative
testi alam beli iphone s lazada temu jalan buntu barang lazada oke niat servis iphone distributor langsung distributor hubung lazada arah ok sambung call center lazada cerita hadap call center lazada informasi kali beli barang gudang lazada langsung informasi samping harga terang produk lazada langsung ato distributor whattt tong tau gue klo klo lazada iklan usaha abal abal nebeng jual lazada konsumen g ngelihat notifikasi kaya gitu barang jual web lazada patut lazada barang jual bertanggug merugika konsumen call center lazada jiper tau suara gue udah dengar komplain rupa kemudia janji kirim alamat service via email email lazada isi maaf temu informasi alamat usaha beuhhuhuhu pedih ok gpp cari alamat service iphone s kartu garansi untung ketemu alamat distributor daerah roxy esok kesana nembus macet ninggalin kerja ngurus iphone bener bener nyiksa konyol oke gpp ya nyampe roxy temu kantor distributor kantor ruko ruko roxy lihat g bonafid kus miring miring karyawannya g make seragam g rapi nyata orang komplain iphone debat d hedeh inti berat distributor iphone tsb tinggal whattt gue make hp gmana data data gue gmana gue data gue g ambil hedeh cuman sop butuh jam sore g kasih g mungki bayang kesel udah duit beli barang damba hati gembira barang nyata bencana ya g alami percaya ama gue its not worthd gue rugi an juta y udah deh itung itung nyumbang gue g rela klo perusahaa ngambil untung kondisi orang musibah rugi duit rugi capek ngumpuli duit beli hp dongkol,negative
